Abbr,Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
ATL,Atlanta Hawks,67,16280,2723,6067,805,2416,1918,3651,1237,1566,791,2729,1849,460,363,953,1462,8776
AVG,League Average,71,17069,2885,6271,862,2408,2023,3862,1261,1631,691,3083,1889,526,429,1102,1431,8663
BOS,Boston Celtics,72,17430,2971,6448,905,2487,2066,3961,1336,1668,754,2599,1525,465,451,946,1606,8508
BRK,Brooklyn Nets,72,17480,2908,6498,941,2746,1967,3752,1291,1732,704,2484,1557,627,371,1057,1566,8482
CHI,Chicago Bulls,65,15675,2573,5762,793,2282,1780,3480,1006,1332,767,2664,1708,511,338,1051,1594,8377
CHO,Charlotte Hornets,65,15750,2425,5586,785,2231,1640,3355,1052,1406,797,2551,1932,539,358,1181,1524,8341
CLE,Cleveland Cavaliers,65,15725,2619,5715,727,2070,1892,3645,983,1296,712,2465,1987,559,290,1077,1609,8294
DAL,Dallas Mavericks,75,18175,3124,6772,1136,3095,1988,3677,1392,1787,732,2295,1801,574,309,1020,1634,8238
DEN,Denver Nuggets,73,17745,3069,6488,801,2234,2268,4254,1185,1526,754,2643,1965,576,398,1113,1546,8222
DET,Detroit Pistons,66,15965,2595,5658,791,2157,1804,3501,1097,1476,768,2549,1655,595,406,995,1553,8183
GSW,Golden State Warriors,65,15725,2510,5730,678,2032,1832,3698,1214,1511,620,2619,1892,547,332,1088,1501,8179
HOU,Houston Rockets,72,17380,2936,6512,1126,3261,1810,3251,1484,1876,786,2436,1952,586,337,1005,1485,8124
IND,Indiana Pacers,73,17620,3075,6457,743,2046,2332,4411,1096,1393,685,2583,1816,636,358,1067,1559,8118
LAC,Los Angeles Clippers,72,17380,2992,6425,895,2410,2097,4015,1498,1894,640,2530,1751,518,390,895,1377,8098
LAL,Los Angeles Lakers,71,17090,3006,6269,782,2242,2224,4027,1260,1728,764,2553,1884,586,389,1037,1529,8084
MEM,Memphis Grizzlies,73,17570,3106,6634,798,2297,2308,4337,1212,1589,757,2490,1803,612,468,1077,1471,8054
MIA,Miami Heat,73,17745,2880,6160,979,2584,1901,3576,1440,1840,766,2683,1761,464,323,1099,1510,8048
MIL,Milwaukee Bucks,73,17595,3160,6638,1007,2840,2153,3798,1336,1800,656,2577,1615,438,292,1089,1468,8013
MIN,Minnesota Timberwolves,64,15560,2586,5865,853,2540,1733,3325,1223,1624,636,2489,1888,543,376,967,1445,7989
NOP,New Orleans Pelicans,72,17430,3065,6598,982,2656,2083,3942,1229,1687,593,2495,1562,550,353,986,1390,7950
NYK,New York Knicks,66,15965,2638,5896,631,1872,2007,4024,1076,1550,695,2372,1713,556,293,1043,1595,7927
OKC,Oklahoma City Thunder,72,17430,2879,6156,770,2171,2109,3985,1422,1787,751,2498,1747,599,396,937,1336,7831
ORL,Orlando Magic,73,17570,2871,6468,807,2354,2064,4114,1282,1656,661,2237,1605,523,341,1086,1548,7488
PHI,Philadelphia 76ers,73,17595,3000,6417,848,2307,2152,4110,1236,1638,675,2193,1525,555,362,981,1370,7248
PHO,Phoenix Suns,73,17595,3006,6429,831,2320,2175,4109,1451,1740,644,2109,1589,490,299,1008,1299,7078
POR,Portland Trail Blazers,74,17835,3122,6749,952,2525,2170,4224,1312,1632,795,2274,1456,504,313,946,1464,6983
SAC,Sacramento Kings,72,17455,2943,6364,914,2511,2029,3853,1127,1464,704,2172,1500,447,211,1073,1188,6948
SAS,San Antonio Spurs,71,17215,2995,6350,760,2021,2235,4329,1348,1664,680,2041,1510,652,265,1005,1417,6945
TOR,Toronto Raptors,72,17380,2897,6331,995,2663,1902,3668,1329,1670,647,2138,1663,534,299,969,1304,6912
UTA,Utah Jazz,72,17355,2886,6130,963,2537,1923,3593,1278,1641,715,2066,1549,428,268,949,1223,6687
WAS,Washington Wizards,72,17355,2990,6544,864,2345,2126,4199,1394,1770,711,2454,1722,540,346,1027,1467,7893
